0.25,0.05,44.44
0.25,0.05,53.33
0.25,0.05,62.22
0.25,0.05,71.11
0.25,0.05,80.00
0.25,0.15,0.00
0.25,0.15,8.89
0.25,0.15,17.78
0.25,0.15,26.67
0.25,0.15,35.56
0.25,0.15,44.44
0.25,0.15,53.33
0.25,0.15,62.22
0.25,0.15,71.11
0.25,0.15,80.00
0.25,0.25,0.00
0.25,0.25,8.89
0.25,0.25,17.78
0.25,0.25,26.67
0.25,0.25,35.56
0.25,0.25,44.44
0.25,0.25,53.33
0.25,0.25,62.22
0.25,0.25,71.11
0.25,0.25,80.00
0.25,0.35,0.00
0.25,0.35,8.89
0.25,0.35,17.78
0.25,0.35,26.67
0.25,0.35,35.56
0.25,0.35,44.44
0.25,0.35,53.33
0.25,0.35,62.22
0.25,0.35,71.11
0.25,0.35,80.00
0.25,0.45,0.00
0.25,0.45,8.89
0.25,0.45,17.78
0.25,0.45,26.67
0.25,0.45,35.56
0.25,0.45,44.44
0.25,0.45,53.33
0.25,0.45,62.22
0.25,0.45,71.11
0.25,0.45,80.00
0.25,0.55,0.00
0.25,0.55,8.89
0.25,0.55,17.78
0.25,0.55,26.67
0.25,0.55,35.56
0.25,0.55,44.44
0.25,0.55,53.33
0.25,0.55,62.22
0.25,0.55,71.11
0.25,0.55,80.00
0.25,0.65,0.00
0.25,0.65,8.89
0.25,0.65,17.78
0.25,0.65,26.67
0.25,0.65,35.56
0.25,0.65,44.44
0.25,0.65,53.33
0.25,0.65,62.22
0.25,0.65,71.11
0.25,0.65,80.00
0.25,0.75,0.00
0.25,0.75,8.89
0.25,0.75,17.78
0.25,0.75,26.67
0.25,0.75,35.56
0.25,0.75,44.44
0.25,0.75,53.33
0.25,0.75,62.22
0.25,0.75,71.11
0.25,0.75,80.00
0.25,0.85,0.00
0.25,0.85,8.89
0.25,0.85,17.78
0.25,0.85,26.67
0.25,0.85,35.56
0.25,0.85,44.44
0.25,0.85,53.33
0.25,0.85,62.22
0.25,0.85,71.11
0.25,0.85,80.00
0.25,0.95,0.00
0.25,0.95,8.89
0.25,0.95,17.78
0.25,0.95,26.67
0.25,0.95,35.56
0.25,0.95,44.44
0.25,0.95,53.33
0.25,0.95,62.22
0.25,0.95,71.11
0.25,0.95,80.00
0.35,0.05,0.00
0.35,0.05,8.89
0.35,0.05,17.78
0.35,0.05,26.67
0.35,0.05,35.56
0.35,0.05,44.44
0.35,0.05,53.33
0.35,0.05,62.22
0.35,0.05,71.11
0.35,0.05,80.00
0.35,0.15,0.00
0.35,0.15,8.89
0.35,0.15,17.78
0.35,0.15,26.67
0.35,0.15,35.56
0.35,0.15,44.44
0.35,0.15,53.33
0.35,0.15,62.22
0.35,0.15,71.11
0.35,0.15,80.00
0.35,0.25,0.00
0.35,0.25,8.89
0.35,0.25,17.78
0.35,0.25,26.67
0.35,0.25,35.56
0.35,0.25,44.44
0.35,0.25,53.33
0.35,0.25,62.22
0.35,0.25,71.11
0.35,0.25,80.00
0.35,0.35,0.00
0.35,0.35,8.89
0.35,0.35,17.78
0.35,0.35,26.67
0.35,0.35,35.56
0.35,0.35,44.44
0.35,0.35,53.33
0.35,0.35,62.22
0.35,0.35,71.11
0.35,0.35,80.00
0.35,0.45,0.00
0.35,0.45,8.89
0.35,0.45,17.78
0.35,0.45,26.67
0.35,0.45,35.56
0.35,0.45,44.44
0.35,0.45,53.33
0.35,0.45,62.22
0.35,0.45,71.11
0.35,0.45,80.00
0.35,0.55,0.00
0.35,0.55,8.89
0.35,0.55,17.78
0.35,0.55,26.67
0.35,0.55,35.56
0.35,0.55,44.44
0.35,0.55,53.33
0.35,0.55,62.22
0.35,0.55,71.11
0.35,0.55,80.00
0.35,0.65,0.00
0.35,0.65,8.89
0.35,0.65,17.78
0.35,0.65,26.67
0.35,0.65,35.56
0.35,0.65,44.44
0.35,0.65,53.33
0.35,0.65,62.22
0.35,0.65,71.11
0.35,0.65,80.00
0.35,0.75,0.00
0.35,0.75,8.89
0.35,0.75,17.78
0.35,0.75,26.67
0.35,0.75,35.56
0.35,0.75,44.44
0.35,0.75,53.33
0.35,0.75,62.22
0.35,0.75,71.11
0.35,0.75,80.00
0.35,0.85,0.00
0.35,0.85,8.89
0.35,0.85,17.78
0.35,0.85,26.67
0.35,0.85,35.56
0.35,0.85,44.44
0.35,0.85,53.33
0.35,0.85,62.22
0.35,0.85,71.11
0.35,0.85,80.00
0.35,0.95,0.00
0.35,0.95,8.89
0.35,0.95,17.78
0.35,0.95,26.67
0.35,0.95,35.56
0.35,0.95,44.44
0.35,0.95,53.33
0.35,0.95,62.22
0.35,0.95,71.11
0.35,0.95,80.00
0.45,0.05,0.00
0.45,0.05,8.89
0.45,0.05,17.78
0.45,0.05,26.67
0.45,0.05,35.56
0.45,0.05,44.44
0.45,0.05,53.33
0.45,0.05,62.22
0.45,0.05,71.11
0.45,0.05,80.00
0.45,0.15,0.00
0.45,0.15,8.89
0.45,0.15,17.78
0.45,0.15,26.67
0.45,0.15,35.56
0.45,0.15,44.44
0.45,0.15,53.33
0.45,0.15,62.22
0.45,0.15,71.11
0.45,0.15,80.00
0.45,0.25,0.00
0.45,0.25,8.89
0.45,0.25,17.78
0.45,0.25,26.67
0.45,0.25,35.56
0.45,0.25,44.44
0.45,0.25,53.33
0.45,0.25,62.22
0.45,0.25,71.11
0.45,0.25,80.00
0.45,0.35,0.00
0.45,0.35,8.89
0.45,0.35,17.78
0.45,0.35,26.67
0.45,0.35,35.56
0.45,0.35,44.44
0.45,0.35,53.33
0.45,0.35,62.22
0.45,0.35,71.11
0.45,0.35,80.00
0.45,0.45,0.00
0.45,0.45,8.89
0.45,0.45,17.78
0.45,0.45,26.67
0.45,0.45,35.56
0.45,0.45,44.44
0.45,0.45,53.33
0.45,0.45,62.22
0.45,0.45,71.11
0.45,0.45,80.00
0.45,0.55,0.00
0.45,0.55,8.89
0.45,0.55,17.78
0.45,0.55,26.67
0.45,0.55,35.56
0.45,0.55,44.44
0.45,0.55,53.33
0.45,0.55,62.22
0.45,0.55,71.11
0.45,0.55,80.00
0.45,0.65,0.00
0.45,0.65,8.89
0.45,0.65,17.78
0.45,0.65,26.67
0.45,0.65,35.56
0.45,0.65,44.44
0.45,0.65,53.33
0.45,0.65,62.22
0.45,0.65,71.11
0.45,0.65,80.00
0.45,0.75,0.00
0.45,0.75,8.89
0.45,0.75,17.78
0.45,0.75,26.67
0.45,0.75,35.56
0.45,0.75,44.44
0.45,0.75,53.33
0.45,0.75,62.22
0.45,0.75,71.11
0.45,0.75,80.00
0.45,0.85,0.00
0.45,0.85,8.89
0.45,0.85,17.78
0.45,0.85,26.67
0.45,0.85,35.56
0.45,0.85,44.44
0.45,0.85,53.33
0.45,0.85,62.22
0.45,0.85,71.11
0.45,0.85,80.00
0.45,0.95,0.00
0.45,0.95,8.89
0.45,0.95,17.78
0.45,0.95,26.67
0.45,0.95,35.56
0.45,0.95,44.44
0.45,0.95,53.33
0.45,0.95,62.22
0.45,0.95,71.11
0.45,0.95,80.00
0.55,0.05,0.00
0.55,0.05,8.89
0.55,0.05,17.78
0.55,0.05,26.67
0.55,0.05,35.56
0.55,0.05,44.44
0.55,0.05,53.33
0.55,0.05,62.22
0.55,0.05,71.11
0.55,0.05,80.00
0.55,0.15,0.00
0.55,0.15,8.89
0.55,0.15,17.78
0.55,0.15,26.67
0.55,0.15,35.56
0.55,0.15,44.44
0.55,0.15,53.33
0.55,0.15,62.22
0.55,0.15,71.11
0.55,0.15,80.00
0.55,0.25,0.00
0.55,0.25,8.89
0.55,0.25,17.78
0.55,0.25,26.67
0.55,0.25,35.56
0.55,0.25,44.44
0.55,0.25,53.33
0.55,0.25,62.22
0.55,0.25,71.11
0.55,0.25,80.00
0.55,0.35,0.00
0.55,0.35,8.89
0.55,0.35,17.78
0.55,0.35,26.67
0.55,0.35,35.56
0.55,0.35,44.44
0.55,0.35,53.33
0.55,0.35,62.22
0.55,0.35,71.11
0.55,0.35,80.00
0.55,0.45,0.00
0.55,0.45,8.89
0.55,0.45,17.78
0.55,0.45,26.67
0.55,0.45,35.56
0.55,0.45,44.44
0.55,0.45,53.33
0.55,0.45,62.22
0.55,0.45,71.11
0.55,0.45,80.00
0.55,0.55,0.00
0.55,0.55,8.89
0.55,0.55,17.78
0.55,0.55,26.67
0.55,0.55,35.56
0.55,0.55,44.44
0.55,0.55,53.33
0.55,0.55,62.22
0.55,0.55,71.11
0.55,0.55,80.00
0.55,0.65,0.00
0.55,0.65,8.89
0.55,0.65,17.78
0.55,0.65,26.67
0.55,0.65,35.56
0.55,0.65,44.44
0.55,0.65,53.33
0.55,0.65,62.22
0.55,0.65,71.11
0.55,0.65,80.00
0.55,0.75,0.00
0.55,0.75,8.89
0.55,0.75,17.78
0.55,0.75,26.67
0.55,0.75,35.56
0.55,0.75,44.44
0.55,0.75,53.33
0.55,0.75,62.22
0.55,0.75,71.11
0.55,0.75,80.00
0.55,0.85,0.00
0.55,0.85,8.89
0.55,0.85,17.78
0.55,0.85,26.67
0.55,0.85,35.56
0.55,0.85,44.44
0.55,0.85,53.33
0.55,0.85,62.22
0.55,0.85,71.11
0.55,0.85,80.00
0.55,0.95,0.00
0.55,0.95,8.89
0.55,0.95,17.78
0.55,0.95,26.67
0.55,0.95,35.56
0.55,0.95,44.44
0.55,0.95,53.33
0.55,0.95,62.22
0.55,0.95,71.11
0.55,0.95,80.00
0.65,0.05,0.00
0.65,0.05,8.89
0.65,0.05,17.78
0.65,0.05,26.67
0.65,0.05,35.56
0.65,0.05,44.44
0.65,0.05,53.33
0.65,0.05,62.22
0.65,0.05,71.11
0.65,0.05,80.00
0.65,0.15,0.00
0.65,0.15,8.89
0.65,0.15,17.78
0.65,0.15,26.67
0.65,0.15,35.56
0.65,0.15,44.44
0.65,0.15,53.33
0.65,0.15,62.22
0.65,0.15,71.11
0.65,0.15,80.00
0.65,0.25,0.00
0.65,0.25,8.89
0.65,0.25,17.78
0.65,0.25,26.67
0.65,0.25,35.56
0.65,0.25,44.44
0.65,0.25,53.33
0.65,0.25,62.22
0.65,0.25,71.11
0.65,0.25,80.00
0.65,0.35,0.00
0.65,0.35,8.89
0.65,0.35,17.78
0.65,0.35,26.67
0.65,0.35,35.56
0.65,0.35,44.44
0.65,0.35,53.33
0.65,0.35,62.22
0.65,0.35,71.11
0.65,0.35,80.00
0.65,0.45,0.00
0.65,0.45,8.89
0.65,0.45,17.78
0.65,0.45,26.67
0.65,0.45,35.56
0.65,0.45,44.44
0.65,0.45,53.33
0.65,0.45,62.22
0.65,0.45,71.11
0.65,0.45,80.00
0.65,0.55,0.00
0.65,0.55,8.89
0.65,0.55,17.78
0.65,0.55,26.67
0.65,0.55,35.56
0.65,0.55,44.44
0.65,0.55,53.33
0.65,0.55,62.22
0.65,0.55,71.11
0.65,0.55,80.00
0.65,0.65,0.00
0.65,0.65,8.89
0.65,0.65,17.78
0.65,0.65,26.67
0.65,0.65,35.56
0.65,0.65,44.44
0.65,0.65,53.33
0.65,0.65,62.22
0.65,0.65,71.11
0.65,0.65,80.00
0.65,0.75,0.00
0.65,0.75,8.89
0.65,0.75,17.78
0.65,0.75,26.67
0.65,0.75,35.56
0.65,0.75,44.44
0.65,0.75,53.33
0.65,0.75,62.22
0.65,0.75,71.11
0.65,0.75,80.00
0.65,0.85,0.00
0.65,0.85,8.89
0.65,0.85,17.78
0.65,0.85,26.67
0.65,0.85,35.56
0.65,0.85,44.44
0.65,0.85,53.33
0.65,0.85,62.22
0.65,0.85,71.11
0.65,0.85,80.00
0.65,0.95,0.00
0.65,0.95,8.89
0.65,0.95,17.78
0.65,0.95,26.67
0.65,0.95,35.56
0.65,0.95,44.44
0.65,0.95,53.33
0.65,0.95,62.22
0.65,0.95,71.11
0.65,0.95,80.00
0.75,0.05,0.00
0.75,0.05,8.89
0.75,0.05,17.78
0.75,0.05,26.67
0.75,0.05,35.56
0.75,0.05,44.44
0.75,0.05,53.33
0.75,0.05,62.22
0.75,0.05,71.11
0.75,0.05,80.00
0.75,0.15,0.00
0.75,0.15,8.89
0.75,0.15,17.78
0.75,0.15,26.67
0.75,0.15,35.56
0.75,0.15,44.44
0.75,0.15,53.33
0.75,0.15,62.22
0.75,0.15,71.11
0.75,0.15,80.00
0.75,0.25,0.00
0.75,0.25,8.89
0.75,0.25,17.78
0.75,0.25,26.67
0.75,0.25,35.56
0.75,0.25,44.44
0.75,0.25,53.33
0.75,0.25,62.22
0.75,0.25,71.11
0.75,0.25,80.00
0.75,0.35,0.00
0.75,0.35,8.89
0.75,0.35,17.78
0.75,0.35,26.67
0.75,0.35,35.56
0.75,0.35,44.44
0.75,0.35,53.33
0.75,0.35,62.22
0.75,0.35,71.11
0.75,0.35,80.00
0.75,0.45,0.00
0.75,0.45,8.89
0.75,0.45,17.78
0.75,0.45,26.67
0.75,0.45,35.56
0.75,0.45,44.44
0.75,0.45,53.33
0.75,0.45,62.22
0.75,0.45,71.11
0.75,0.45,80.00
0.75,0.55,0.00
0.75,0.55,8.89
0.75,0.55,17.78
0.75,0.55,26.67
0.75,0.55,35.56
0.75,0.55,44.44
0.75,0.55,53.33
0.75,0.55,62.22
0.75,0.55,71.11
0.75,0.55,80.00
0.75,0.65,0.00
0.75,0.65,8.89
0.75,0.65,17.78
0.75,0.65,26.67
0.75,0.65,35.56
0.75,0.65,44.44
0.75,0.65,53.33
0.75,0.65,62.22
0.75,0.65,71.11
0.75,0.65,80.00
0.75,0.75,0.00
0.75,0.75,8.89
0.75,0.75,17.78
0.75,0.75,26.67
0.75,0.75,35.56
0.75,0.75,44.44
0.75,0.75,53.33
0.75,0.75,62.22
0.75,0.75,71.11
0.75,0.75,80.00
0.75,0.85,0.00
0.75,0.85,8.89
0.75,0.85,17.78
0.75,0.85,26.67
0.75,0.85,35.56
0.75,0.85,44.44
0.75,0.85,53.33
0.75,0.85,62.22
0.75,0.85,71.11
0.75,0.85,80.00
0.75,0.95,0.00
0.75,0.95,8.89
0.75,0.95,17.78
0.75,0.95,26.67
0.75,0.95,35.56
0.75,0.95,44.44
0.75,0.95,53.33
0.75,0.95,62.22
0.75,0.95,71.11
0.75,0.95,80.00
0.85,0.05,0.00
0.85,0.05,8.89
0.85,0.05,17.78
0.85,0.05,26.67
0.85,0.05,35.56
0.85,0.05,44.44
0.85,0.05,53.33
0.85,0.05,62.22
0.85,0.05,71.11
0.85,0.05,80.00
0.85,0.15,0.00
0.85,0.15,8.89
0.85,0.15,17.78
0.85,0.15,26.67
0.85,0.15,35.56
0.85,0.15,44.44
0.85,0.15,53.33
0.85,0.15,62.22
0.85,0.15,71.11
0.85,0.15,80.00
0.85,0.25,0.00
0.85,0.25,8.89
0.85,0.25,17.78
0.85,0.25,26.67
0.85,0.25,35.56
0.85,0.25,44.44
0.85,0.25,53.33
0.85,0.25,62.22
0.85,0.25,71.11
0.85,0.25,80.00
0.85,0.35,0.00
0.85,0.35,8.89
0.85,0.35,17.78
0.85,0.35,26.67
0.85,0.35,35.56
0.85,0.35,44.44
0.85,0.35,53.33
0.85,0.35,62.22
0.85,0.35,71.11
0.85,0.35,80.00
0.85,0.45,0.00
0.85,0.45,8.89
0.85,0.45,17.78
0.85,0.45,26.67
0.85,0.45,35.56
0.85,0.45,44.44
0.85,0.45,53.33
0.85,0.45,62.22
0.85,0.45,71.11
0.85,0.45,80.00
0.85,0.55,0.00
0.85,0.55,8.89
0.85,0.55,17.78
0.85,0.55,26.67
0.85,0.55,35.56
0.85,0.55,44.44
0.85,0.55,53.33
0.85,0.55,62.22
0.85,0.55,71.11
0.85,0.55,80.00
0.85,0.65,0.00
0.85,0.65,8.89
0.85,0.65,17.78
0.85,0.65,26.67
0.85,0.65,35.56
0.85,0.65,44.44
0.85,0.65,53.33
0.85,0.65,62.22
0.85,0.65,71.11
0.85,0.65,80.00
0.85,0.75,0.00
0.85,0.75,8.89
0.85,0.75,17.78
0.85,0.75,26.67
0.85,0.75,35.56
0.85,0.75,44.44
0.85,0.75,53.33
0.85,0.75,62.22
0.85,0.75,71.11
0.85,0.75,80.00
0.85,0.85,0.00
0.85,0.85,8.89
0.85,0.85,17.78
0.85,0.85,26.67
0.85,0.85,35.56
0.85,0.85,44.44
0.85,0.85,53.33
0.85,0.85,62.22
0.85,0.85,71.11
0.85,0.85,80.00
0.85,0.95,0.00
0.85,0.95,8.89
0.85,0.95,17.78
0.85,0.95,26.67
0.85,0.95,35.56
0.85,0.95,44.44
0.85,0.95,53.33
0.85,0.95,62.22
0.85,0.95,71.11
0.85,0.95,80.00
0.95,0.05,0.00
0.95,0.05,8.89
0.95,0.05,17.78
0.95,0.05,26.67
0.95,0.05,35.56
0.95,0.05,44.44
0.95,0.05,53.33
0.95,0.05,62.22
0.95,0.05,71.11
0.95,0.05,80.00
0.95,0.15,0.00
0.95,0.15,8.89
0.95,0.15,17.78
0.95,0.15,26.67
0.95,0.15,35.56
0.95,0.15,44.44
0.95,0.15,53.33
0.95,0.15,62.22
0.95,0.15,71.11
0.95,0.15,80.00
0.95,0.25,0.00
0.95,0.25,8.89
0.95,0.25,17.78
0.95,0.25,26.67
0.95,0.25,35.56
0.95,0.25,44.44
0.95,0.25,53.33
0.95,0.25,62.22
0.95,0.25,71.11
0.95,0.25,80.00
0.95,0.35,0.00
0.95,0.35,8.89
0.95,0.35,17.78
0.95,0.35,26.67
0.95,0.35,35.56
0.95,0.35,44.44
0.95,0.35,53.33
0.95,0.35,62.22
0.95,0.35,71.11
0.95,0.35,80.00
0.95,0.45,0.00
0.95,0.45,8.89
0.95,0.45,17.78
0.95,0.45,26.67
0.95,0.45,35.56
0.95,0.45,44.44
0.95,0.45,53.33
0.95,0.45,62.22
0.95,0.45,71.11
0.95,0.45,80.00
0.95,0.55,0.00
0.95,0.55,8.89
0.95,0.55,17.78
0.95,0.55,26.67
0.95,0.55,35.56
0.95,0.55,44.44
0.95,0.55,53.33
0.95,0.55,62.22
0.95,0.55,71.11
0.95,0.55,80.00
0.95,0.65,0.00
0.95,0.65,8.89
0.95,0.65,17.78
0.95,0.65,26.67
0.95,0.65,35.56
0.95,0.65,44.44
0.95,0.65,53.33
0.95,0.65,62.22
0.95,0.65,71.11
0.95,0.65,80.00
0.95,0.75,0.00
0.95,0.75,8.89
0.95,0.75,17.78
0.95,0.75,26.67
0.95,0.75,35.56
0.95,0.75,44.44
0.95,0.75,53.33
0.95,0.75,62.22
0.95,0.75,71.11
0.95,0.75,80.00
0.95,0.85,0.00
0.95,0.85,8.89
0.95,0.85,17.78
0.95,0.85,26.67
0.95,0.85,35.56
0.95,0.85,44.44
0.95,0.85,53.33
0.95,0.85,62.22
0.95,0.85,71.11
0.95,0.85,80.00
0.95,0.95,0.00
0.95,0.95,8.89
0.95,0.95,17.78
0.95,0.95,26.67
0.95,0.95,35.56
0.95,0.95,44.44
0.95,0.95,53.33
0.95,0.95,62.22
0.95,0.95,71.11
0.95,0.95,80.00
